fulltext,title,url,closingdate,filteredword
"Summary
Highlight notices are intended to stimulate proposals under specified themes /strategic priorities in order to rapidly advance thinking or collaboration in these areas. Highlight notices are offered as opportunities within existing AHRC research schemes and are therefore assessed under the same criteria and assessment process.
Highlight notices are applied for a set period of time, for example 12 months, and the descriptions are usually intended to guide inquiry rather than prescribe individual research topics.
It is hoped, that successful proposals addressing highlight notices will help to build capacity in the specified area. For example, activities funded under a highlight notice for an AHRC theme could inform the future development of the theme by feeding back progress to the relevant subject team at the AHRC and representatives attending events related to the award or through coordinated activities organised by the AHRC.
Proposals relevant to the highlight notice can be submitted at any time while the highlight notice is in existence. All proposals will be assessed on their quality and individual merits according to standard scheme criteria. Although proposals addressing the highlight notice will not be given priority in the assessment or ranking of applications, supplementary funding may be made available to support additional highly rated applications addressing the highlight notices that may not have otherwise been funded under the existing scheme budgets. As a result, applications addressing highlight notices may have an increased chance of funding, but only if they fully meet the excellence criteria for the scheme and high international standards of scholarship, originality, quality and significance as judged through peer review.
If your proposal is funded under a highlight notice, you will be expected to produce a short report at the end of the award summarising the outcomes of the work undertaken and the potential for the future development of the topic of the highlight notice. For example by highlighting potential innovative new multi-disciplinary research, partnership, international links, researcher development, or knowledge exchange opportunities.
",Highlight notices,http://ahrc.ukri.org/funding/apply-for-funding/current-opportunities/highlightnotices/,"Closing Dates
Open - No Deadline
",
"Summary
The AHRC Follow-on Funding for Impact and Engagement Scheme (FoF) provides funds to support innovative and creative engagements with new audiences and user communities which stimulate pathways to impact. Funds will be awarded for knowledge exchange, public engagement, active dissemination and commercialisation activities that arise unforeseeably during the lifespan of or following an AHRC-funded project. The scheme does not support supplementary funding for continuation of research activities.
Proposals must clearly demonstrate both a well-defined non-academic need for the work and engagement with potential users and stakeholders in developing their project. Proposed activities must enhance the value and wider benefit of the original research project and clearly demonstrate how they will deliver significant economic, social, cultural and/or policy impacts.
The scheme aims to encourage and facilitate a range of interactions and creative engagements between arts and humanities research and a variety of user communities including business and commercial, third sector and heritage sector, public policy, voluntary and community groups and the general public.
The AHRC Follow-on Funding for Impact and Engagement scheme operates without formal deadlines and will offer awards of up to £100,000 (fEC) for a maximum of 12 months. Smaller awards of up to £30,000 (fEC) are encouraged for shorter or higher risk activities, for example testing the feasibility of an idea, exploring new partnerships for knowledge exchange, testing the market or investigating a new business model. Decision making times are reduced for these smaller awards.
For further information on scheme criteria, eligibility, assessment  procedures and supportable activities please see the AHRC Funding Guide.
For further information on scheme criteria, eligibility, assessment  procedures and supportable activities please see the new scheme guidance is available now in our Research Funding Guide.
",Follow-on Funding for Impact and Engagement,http://ahrc.ukri.org/funding/apply-for-funding/current-opportunities/followonfunding/,"Closing Dates
Open - No Deadline
",
"
The ESRC is seeking to commission expert advice and intellectual leadership to deliver an evidence base to inform and support ESRC’s future commissioning activity in the new priority area of Education: Improving Outcomes as in our Delivery Plan 2019. The contract deliverables will be achieved through scoping work, as well as other activities including stakeholder engagement.
The aim of this contract will be to help the ESRC identify specific gaps and opportunities in its portfolio, and to design and implement funding schemes in this priority area.
It is envisaged that this expert advice will be provided by a senior specialist with an internationally recognised publication record in education research, strong relevant policy and practice expertise and an understanding, and appreciation of the need for an interdisciplinary approach, and with existing networks with key stakeholders in academia, public sector, and civil society.
It is expected that the work will take place between October 2020 and September 2021.
Further details about this call and how to submit a bid can be found at Contracts Finder. The deadline for submissions is 10 August 2020.
","
Tender live for Expert Advisory Services for ESRC's Education - Improving Outcomes Research Priority


",https://esrc.ukri.org/funding/funding-opportunities/tender-live-for-expert-advisory-services-for-esrcs-education/,,
"
Summary
Economic and Social Research Council (ESRC) is pleased to announce an open competition for the creation of an International Public Policy Observatory to support public policy decision-makers in developing effective strategies for responding to and recovering from the social, economic and public health impacts of the Covid-19 pandemic. ESRC intends to fund the Observatory for an initial period of two years to enable a rapid response to current urgent evidence need and to generate evidence about the effectiveness of this new model to inform further investment decisions.
Scope
The International Public Policy Observatory (IPPO) will provide research and evidence to inform public policy decision-makers in developing effective strategies for responding to and recovering from the social, economic and public health impacts of the Covid-19 pandemic. It will work through collaboration and co-production with policy actors, researchers and centres of excellence in the UK and internationally, the ESRC and other funders. IPPO will increase understanding of the range and effectiveness of interventions and public policy responses to the pandemic. To achieve this, it will:

collate, analyse and synthesise evidence on the range and potential effectiveness of policies being implemented, including and especially beyond the UK, providing access to and insights into this evidence in ways which respond directly to the needs of policy actors; this will require providing insights into the potential transferability to the UK context of other countries’ interventions
facilitate new connections and enable rapid direct access to national and international expertise for policy actors
over time support commissioning of new research to feed into policy decisions and future funding strategy where key gaps in evidence or quality are identified

The range of policy areas to be covered in its work will include: education; mental health and wellbeing; care homes and adult social care; housing, communities and cohesion; addressing disproportionate impacts on BAME groups; vulnerable individuals and communities; and living online. Given the dynamic and wide-ranging nature of the policy need, the Observatory will need to deploy an iterative, phased and demand-led approach to prioritising within and across these public policy areas through close collaboration with key policy stakeholders and ESRC. For all policy areas, the Observatory will need to address tackling inequalities and harnessing behavioural change, where there is evidence that can be exploited on these themes.
Funding and eligibility
The ESRC will be investing up to £2 million at 100% full economic cost (fEC) in one award through this call. The fEC value refers to the total cost of the project, and is not the actual contribution paid by the ESRC. The ESRC’s contribution for UK applicants for most cost headings is 80% of fEC. These will not include the costs for any research commissioned in association with the Observatory, which will be supported through a separate fund.
All proposals to this call must be led by a researcher at an eligible UK Research Organisation (RO); see the UKRI website for a list of eligible organisations. All proposals to this call will need to be submitted through the Research Councils’ Joint Electronic Submission (Je-S) system. The deadline for submissions is no later than 16.00 15 September 2020. Proposals will be assessed by a panel of academic and policy experts and shortlisted applicants will be interviewed w/c 5 October 2020. The interview date will be confirmed to all applicants when the call closes. The successful applicant will be required to submit a full proposal formally through the Research Councils’ Joint Electronic Submission (Je-S) system in October 2020.
Timetable

Pre-call issued – 14 July 2020
Call and guidance issued – 27 July 2020
Closing date for proposals – 15 Sept 2020
Shortlisting outcomes communicated – by 2 Oct 2020
Interviews to take place – w/c 5 Oct 2020 (date TBC by call close)
Decisions to applicants – w/c 12 Oct 2020
Start date – no later than 23 October 2020 

Call Documents
IPPO Call Specification (PDF, 172Kb)
JeS guidance (PDF, 139Kb)
IPPO Business Plan Template (Word, 46Kb)
Additional Guidance
IPPO FAQs (PDF, 81Kb)
ESRC Research Funding Guide
Equality Impact Assessment - to follow
","
Announcement of Opportunity: International Public Policy Observatory


",https://esrc.ukri.org/funding/funding-opportunities/announcement-international-public-policy-observatory/,,
"
Research Centres are major ESRC strategic investments. In addition to taking forward an ambitious research agenda and making significant economic and/or societal impact, they add value by increasing research infrastructure, building capacity, encouraging interdisciplinary working in social science and beyond, and enabling research collaboration in the UK and internationally.
Research Centre funding is aimed at experienced research leaders who require longer-term or extended support for research groups, inter-institutional research networks, programmes of research, medium to large surveys, other infrastructure or methodological developments, or any related larger-scale projects. Research Centres also have a distinct role in supporting the development of early career researchers and building new research capacity. They are expected to be high-impact investments over the longer term.
The Centres 2020 competition is open to applications of excellent quality in any area of social science within the ESRC remit. The call also includes a highlight notice in the area of Changing Populations, in particular ‘Connecting Generations’.
The ESRC will be investing up to £45m 100% full economic cost (fEC) over five years through the open element of this Centres Competition, with up to a further £10m 100% fEC for the highlight notice. The competition is for proposals ranging from £2.5 million to £10 million 100% fEC with a term of up to five years. ESRC will meet 80% of the full economic costs on proposals submitted. It is anticipated that ESRC will fund up to five Centres under the open call and a further Centre under the highlight notice. All proposals to this call must be led by a researcher at an eligible UK Research Organisation (RO) and will need to be submitted through the Research Councils’ Joint Electronic Submission (Je-S) system.
We anticipate considerable interest in this competition which will be run as a two-stage application process and, as in previous competitions, we have asked ROs to limit the number of applications to support the most competitive bids. We will be looking for evidence of long-term institutional commitment, including additional financial resources from the RO to extend the work programme beyond the 100% fEC funding requested.
Highlight notice
Dedicated funds are available to support a Centre in the area of Changing Populations, in particular ‘Connecting Generations’. It is our expectation that the successful Centre will seek to address aims set out under the Changing Populations priority area of the ESRC 2019 Delivery Plan (https://www.ukri.org/files/about/dps/esrc-dp-2019/) and specifically fulfil our commitment to a Connecting Generations programme that stimulates excellent research that will inform policy and practice by expanding the evidence base on how changes in our population, society and economy influence the connections and inequalities between generations.
Further details can be found in the Call Specification.
Timetable
Full guidance on eligibility, closing dates, how to apply to the call and assessment criteria are detailed in the documents listed below. A timetable is also shown below.

Call published – April 2020
Deadline for submitting outline proposals – October 2020
Deadline for submitting full proposals – March 2021
Interviews – July 2021
Award start date - October 2021

Call Documents

Call Specification (PDF, 173Kb)
Je-S Call Guidance (PDF, 196Kb)

Additional Guidance

Frequently Asked Questions (PDF, 93Kb)
Research Funding Guide (PDF, 375Kb)
Equality Impact Assessment (PDF, 163Kb)
Eligible Centres (PDF, 90Kb)

","
Centres Competition 2020


",https://esrc.ukri.org/funding/funding-opportunities/centres-competition-2020/,,
"
JPI Urban Europe invites transdisciplinary and cross-sectoral communities of researchers and practitioners to create projects that align, synthesise or consolidate already existing knowledge on urban migration across disciplines on national and local levels.
The focus of this call is the ways that migration affects and is affected by the life and functioning of cities. With the aim of bringing together already existing knowledge on migration across disciplines on national and local level. The results from projects granted in this call should help to facilitate knowledge transfer and learning from different contexts, cities and countries to create greater engagement and understanding in migrant as well as host communities.
Topics

Topic 1: Socio-spatial integration and citizen involvement
Topic 2: Urban governance of housing issues
Topic 3: Enhancing cities’ administrative capacities and supporting evidence-based integration policies (managing migration)

Partners must be an eligible UK Higher Education Institution or Independent Research Organisation. For further information, please see https://www.ukri.org/funding/how-to-apply/eligibility/.
Whilst inter-disciplinary / cross-Council proposals are welcomed, in order to be eligible for ESRC funding a significant part of the research proposed by UK partners must fall within the subject remit of the ESRC.
Full-proposals should be submitted via eCall electronic submission system (https://ecall.ffg.at)
A submission directly to ESRC is not required unless funded.
Call Timeline

Call opening - 17 December 2019
Pre-proposal deadline - 2 April 2020, 12:00am CET
Invitations to submit full proposal - May 2020
Full proposal deadline - 4 September 2020
Funding decisions announced - November 2020
Start of projects - January 2021-March 2021
Projects end (the latest) - January 2023

 
","
JPI Urban Migration Call


",https://esrc.ukri.org/funding/funding-opportunities/jpi-urban-migration-call/,,
"
The Joint Programming Initiative ""More Years Better Lives - The Potential and Challenges of Demographic Change (JPI MYBL), is a pan-European and Canadian intergovernmental initiative gathering European countries and Canada to jointly coordinate European and national research programmes related to demographic change and fund new transnational research initiatives. Areas affected by demographic change cover a wide range of research fields and policy topics ranging from health to social welfare, education and learning, work and productivity to housing, urban and rural development and mobility.
Call for Proposals
Following a pre-announcement earlier in the year, the Economic and Social Research Council (ESRC), alongside ten other European and Canadian funding organisations, is pleased to invite applications for the Equality and Wellbeing across Generations (EWG) funding opportunity. This is a call which has been developed under the JPI MYBL.
The EWG call is now open and the deadline for applications is 14 September 2020 at 17:00 Central European Time (CET).
Major demographic changes are taking place across Europe and Canada and these changes can increase inequality, bringing greater opportunities for some people but fewer opportunities for others. One key change is in the relationship between generations, where historical assumptions about mutual responsibilities and benefits may no longer be valid. The EWG joint transnational call invites researchers to submit proposals that will enhance our understanding of: 

How demographic change is altering the implicit contract between generations?
How policy can ensure that change results in a reduction in inequality?

The call aims to support policy in reducing inequality in the face of demographic change, specifically three aspects of inequality:

Income and wealth
Caring responsibilities
Social and political participation

In addressing these topics, we expect proposals to pay particular attention to cross-cutting issues of gender, cultural background[1] and socio-economic background, all of which have a major bearing on inequalities.
UK applicants are permitted to address all three topics and all three cross-cutting issues set out in the scope of the call.
Funding
A total contribution of approximately 6,736,000€ will be provided by the eleven national funding agencies. The UK budget for this call is approximately 1,120,000€ and it is anticipated that three to six projects with UK components will be funded. ESRC will provide funding for 80% of the Full Economic Cost (fEC) of the UK components of successful projects.
Call Documents
The Call will be administered via the Belgium Science Policy Office (BELSPO). Applicants should refer to the EWG website in order to register for access to the Electronic Submission Platform. On the website, applicants will also find the Guidelines for Applicants document. UK applicants should pay particular attention to the UK annex within this document.  
Please note that successful UK applicants will be asked to submit their proposal through UKRI’s Joint Electronic System (Je-S) when the funding decisions had been made, in order for ESRC to administer the Awards. To reduce the administrative burden on applicants during the initial application stage, applicants will not be required to upload additional UK-specific attachments to the Electronic Submission Platform at this time, except for the ’UK Funding Template – Mandatory Attachment’ which can be found on the Platform.
Partnering Tool and Submission Platform
The EWG website includes a platform, which acts as a partnering tool and a submission platform. Through this tool prospective applicants can identify collaborators in other countries that are participating in the call. Interested parties can post their expertise and indicate that they are looking to join a collaboration, or they can put out a request for particular expertise that they require as part of a collaboration they are forming. The tool can also be used to identify and connect with relevant stakeholders.
At the same time this platform will be used to build and submit your application. The platform has been built especially for this call and is very user-friendly. The recorded webinar gives you a detailed walk through of the platform and it’s functionality. 
Expression of Interest (EOI)
The call has a non-compulsory EOI stage. We encourage applicants considering submitting a proposal to this call to add basic information, such as their name, keywords and disciplines, onto the Electronic Submission Platform by 14 August 2020.  This will help the funders to find suitable experts to assess the proposals.
Relevance of COVID-19
The funders acknowledge the relevance of the COVID-19 pandemic to the topic of this call. The pandemic has brought a refreshed focus on the relationship and inequalities between and within generations and on the responsibilities of generations to one another. The virus and the measures put in place to stop its spread are having differential impacts both between and within generations. This includes in key areas of daily life that are addressed as topics of this call - income and wealth, caring responsibilities, and social and political participation. The primary focus of proposals to this call should be the research topics and cross-cutting issues set out in the call scope. However, proposals can, and where appropriate should, recognise the COVID-19 pandemic as an important contextual factor in the research that is proposed.
If you missed our webinar, you can still view the recording.


[1] meaning factors that may shape an individual’s upbringing including, but not limited to, national origin, nationality, race, ethnicity, religion and language


","
JPI More Years Better Lives, Equality and Wellbeing across Generations


",https://esrc.ukri.org/funding/funding-opportunities/jpi-more-years-better-lives-equality-and-wellbeing-across-generations/,,
"
The Medical Research Council, the Arts and Humanities Research Council and the Economic and Social Research Council invite outline proposals for innovative and ambitious interdisciplinary programmes of original empirical research in adolescence, mental health and the developing mind. This £24M call will support a range of substantive flagship programmes, each of up to 4-year duration and up to £4M.
Please note that the funders will be holding a webinar for applicants to provide information and guidance on this call as well as an opportunity for questions and answers. We would encourage all potential applicants to attend either of the following dates:

10:00 on Tuesday April 21, 2020
14:00 on Thursday April 30, 2020

Please contact MRC Adolescent Mental Health for more information and to register for this event. We expect the webinar to last no longer than one hour. 
UKRI is aware that the ongoing situation regarding coronavirus will significantly impact the development of outline proposals. We have therefore made the decision to extend the timeline for this call by 3 months. The new deadline for submission of outline proposals is the 15 September 2020 (and not June 2020 as stated in the pre-call announcement).
Further information
For full details of the call, see the MRC website.
Contacts
For general enquiries, please contact MRC Adolescent Mental Health
For specific queries the relevant contacts are:

Karen Brakspear – Head of Programme for Mental Health, MRC 
Wendy Matcham – Senior Research Portfolio Manager, Health and Human Behaviour, ESRC 
Margaret Charleroy – Head of Health and Environmental Humanities, AHRC 

","
MRC/AHRC/ESRC Adolescence, Mental Health and the Developing Mind: Call for Research Programmes


",https://esrc.ukri.org/funding/funding-opportunities/amhdm-call-for-research-programmes/,,
"
ESRC are recruiting new Chairs, Academic and User members for the Grant Assessment Panels (GAP).  Please find advertisements and links to the application form here. The closing date for applications is 17:00 hours on Friday 18th September 2020.
","
Grants Assessment Panels Membership: Call for Applications


",https://esrc.ukri.org/funding/funding-opportunities/grants-assessment-panels-membership-call-for-applications/,,
"
2018-2021 Call Specification: Invite only
Tranche 4
ESRC and DFID are pleased to announce that Tranche 4 of the RLO Follow-on Fund 2018- 2021 call is open to all RLO Principal Investigators and Co-Investigators, both past and present. The call is focussed on impact enhancement, research augmentation, capacity building (workstreams 1-3) and cross-grant synthesis (workstream 4) activities, which build on their existing RLO grant.
This invitation-only call will be open twice a year, in bi-annual tranches (usually opened every six months) for the next two years. The fourth bi-annual tranche will open 12 May 2020 and close 16:00 (UK time) on 22 September 2020. In response to the impact of the COVID 19 pandemic on research and the research community, the fourth tranche of this call will be open for a longer period than previous tranches. It is intended that the final tranche will open in May 2021, however the timing of remaining tranches will continue to be reviewed in response to the evolving situation regarding the global pandemic. Up to £2 million has been allocated for the length of the call.
The call is open to any Principal Investigator (PI) or Co-Investigator (Co-I) who has held a research grant funded within the RLO programme. Co-Is who wish to apply as a PI to this Follow-on Fund call must have the express support of their original RLO grant’s PI.The original grant can be open or closed at the point that the application(s) are made and they will be awarded as separate grant(s) to the existing/completed RLO grant. Any researcher who has not been a PI or Co-I on an RLO-funded grant is not eligible to apply. All uninvited or ineligible applications will be rejected.
In workstreams 1-3 (impact enhancement, research augmentation, capacity building) proposals are invited for grants with a full economic cost (fEC) value of between £25,000 and £100,000 for either workstream, or for any combination of these three workstreams. Researchers are eligible to apply for a number of these grants, on multiple occasions, however the total amount of all awarded grants linked to the original proposal must not in sum exceed £100,000. Note that whilst cross-grant learning (where appropriate for inclusion) will be viewed positively in workstream 1 to 3, it is not a requirement for these workstreams and proposals within these workstreams must stand alone i.e. they cannot be co/inter dependent.
In workstream 4 (cross-grant synthesis) proposals are invited from RLO researchers working in collaboration with other RLO grants. These proposals must also have a fEC value of between £25,000 and £100,000. Researchers can also apply for a number of these grants, on multiple occasions, and can collaborate with different projects in these applications. The funders are keen to encourage applications to workstream 4. Therefore in addition to the maximum of £100k allocable per grant in workstreams 1-3, a further £100k may be allocated to original RLO grants against workstream 4 (this makes a maximum of £200k across all 4 workstreams).
Projects may be up to a maximum of 2 years in duration. The call has been designed so that all grants will get an equal chance to access this additional funding if and when they are ready to do so.  Proposals can be submitted at any point whilst each tranche of the call is open, but will not be assessed until the submission window has closed.
The full specification and other important call-specific guidance documents can be found below:

Call specification (PDF, 171Kb) 
Je-S Guidance (PDF, 238Kb) 
Costing Guidance for non-UK institutions  (PDF, 75Kb)

Please note that in January 2020 UK Research and Innovation announced changes to requirements on ‘Pathways to Impact’. Applicants will no longer be required to provide a separate ‘Pathways to Impact’ plan or complete an ‘Impact Summary’ within grant proposals from 1 March 2020.
All proposals to Tranche 4 must be submitted through the Je-S system by 16:00 (UK time) on 22 September 2020.
 
","
ESRC-DFID Raising Learning Outcomes (RLO) in Education Systems Research Programme


",https://esrc.ukri.org/funding/funding-opportunities/esrc-dfid-raising-learning-outcomes-rlo-in-education-systems-research-programme/,,
"
If you have an excellent idea for a research project, the best way to seek funding for it is through our Research Grants open call. Awards ranging from £350,000 to £1 million (100% full Economic Cost (fEC)) can be made to eligible institutions to enable individuals or research teams to undertake anything from a standard research project through to a large-scale survey and other infrastructure or methodological development.
There is considerable flexibility when it comes to subject area, too. As long as you always make sure that your suggested topic falls within ESRC's remit, you are free to concentrate on any research area. Proposals can draw from the wider sciences, but the social sciences must represent more than 50 per cent of the research focus and effort. Please see the Call Specification and scheme specific Je-S Guidance below for more details of what can be applied for under this call.
You can submit proposals to this call at any time - there are no fixed closing dates. We aim to announce the majority of decisions within 26 weeks of receiving the proposal although we cannot guarantee this, since it is dependent on receiving sufficient good quality peer review comments within the necessary timescale. Please see the FAQs for further details. You must apply using the Joint Electronic Submission System (Je-S).
The content and quality of the application you submit will determine whether or not you are successful. Therefore it is vital that you have a full understanding of what is required, as well as knowing the various stages of the application process, so that you maximise your chances of gaining an award. We offer guidance on how to write a good application.
International collaboration and funding
We welcome the inclusion of international co-investigators on ESRC proposals.
We also have bilateral agreements with funding agencies in several countries.
Call documents 

Call specification (open call) (PDF, 135Kb)
Je-S guidance (open call) (PDF, 244Kb)

Additional documents

Frequently Asked Questions (PDF, 154Kb)
Research Funding Guide
Equality Impact Assessment (Word, 45Kb)

","
Research Grants


",https://esrc.ukri.org/funding/funding-opportunities/research-grants/,,
"

UK Research & Innovation (UKRI) are inviting applications to address the objectives of the new Sustainable Management of UK Marine Resources (SMMR) research programme. The £12.4m SMMR programme will be jointly delivered by the Natural Environment Research Council (NERC) and the Economic and Social Research Council (ESRC) on behalf of UKRI, and in partnership with the Department for Environment, Food and Rural Affairs (Defra) and Marine Scotland.
This programme aims to improve understanding of sustainable societal, behavioural and economic benefits through better management of UK marine resources, and integrate this into systems-based approaches that support the development and analysis of interventions and inform effective decision-making for marine management and policy. At the same time, the programme will achieve an enduring step change in the capability of the marine transdisciplinary research community to work more closely with stakeholders, including policy makers, industry, and the public.
To help with partnership development, the SMMR programme has introduced a facilitation process that will be led by the SMMR Champions, to support interdisciplinary and stakeholder connections.  
Applicants must submit a Notification of Intent. The purpose of this stage is to help estimate the number of potential submissions, identify thematic areas being addressed and enable the Champions to facilitate interdisciplinary and stakeholder connections.
Notification of Intent closing date: 12:00 on 12 June 2020
Proposal closing date: 16:00 on 6 October 2020
","
Announcement of Opportunity: Sustainable Management of UK Marine Resources


",https://esrc.ukri.org/funding/funding-opportunities/announcement-of-opportunity-sustainable-management-of-uk-marine-resources/,,
"
Closing date for Expressions of Interest: 16:00 on 31 August 2020
Closing date for Full Applications: 16:00 on 12 October 2020
Up to £400,000 of funding has been allocated up to build upon the existing NERC-ESRC funded Unconventional Hydrocarbons in the UK Energy System (UKUH) programme. The Open Call will fund projects that maximise the legacy and impact of the UKUH Programme; advance the integration of socio-economic and geoscience research; provide opportunities to increase the Equality, Diversity and Inclusion (EDI) of the Programme and support Early Career Researchers (ECRs).
The ambitions of the Open Call will be delivered through:

Funding an overarching Socio-economic and Geoscience Nexus Project of up to £25,000;
Funding up to 3 Large inter-disciplinary projects each to a value of up to £70,000, for early career researchers;
Funding up to 8 Small projects each to the value of up to £20,000;
Allocating up to a total of £5,000, to fund up to 5 EDI Ambassadors responsible for promoting Equality, Diversity and Inclusion (EDI) and supporting Early Career Researchers (ECRs).

All details are found in the Announcement of Opportunity document at www.ukuh.org/opencall/ and we encourage applicants out with the existing UKUH Programme to apply for funding as well as those who have existing contracts already funded through the UKUH programme.
","
Announcement of Opportunity: NERC-ESRC funded Unconventional Hydrocarbons in the UK Energy System (UKUH) programme launches an Open Call


",https://esrc.ukri.org/funding/funding-opportunities/ao-ukuh-programme-open-call/,,
"
Application deadline: 15 October 2020, 16:00
Call summary
UK Research and Innovation (UKRI) invites proposals for interdisciplinary research and innovation consortia under the second wave of the Strategic Priorities Fund (SPF) Clean Air Programme.
The aim of the second wave of SPF Clean Air Programme funding is to equip the UK to proactively tackle new and emerging air quality challenges related to changing emissions and exposure patterns and health impacts on groups of people most at risk.
With this in mind, the purpose of this call is to fund solution focussed, interdisciplinary consortia in the area of the indoor/outdoor air quality interface which will deliver new knowledge that:

provides critical foresight on emerging air pollution challenges and associated health risks and impacts; and
enable an increased understanding and quantification of human behavioural change and practices in order to develop and assess interventions, that limit harmful exposure to mitigate negative health impacts individuals most at risk.

Further information
For further information on background, scope and how to apply please visit the NERC website.
For further details on the SPF Clean Air Programme, please visit: UK Clean Air website.
For more details on the Strategic Priorities Fund, please visit: UKRI SPF website.
Contact
For further details on this funding call, please contact: atmospheric@nerc.ukri.org
","
Strategic Priorities Fund: Preparing for Future Clean Air Challenges – Interdisciplinary research and innovation consortia


",https://esrc.ukri.org/funding/funding-opportunities/strategic-priorities-fund-preparing-for-future-clean-air-challenges-interdisciplinary-research-and-innovation-consortia/,,
